title,address,city,state,zipcode,type
GINGERMAN,2718  BOLL,DALLAS,TX,75016,Draft
CASEY'S,304 DEPOT STREET,ANN ARBOR,MI,48104,Draft
FERRANTE'S MEQUON,10404 PORT WASHINGTON RD,MEQUON,WI,53092 553,Draft
JAKES CIGARS,101 N 14TH STREET #1,LINCOLN,NE,68508,Draft
TAP ROOM,201 W. MICHIGAN AVE.,YPSILANTI,MI,48197,Draft
BUFFALO WILD WINGS OF CHGO RIDGE,111 CHICAGO RIDGE MALL DRIVE SUITE,CHICAGO RIDGE,IL,60415,Draft
RIVOLI THEATRE,117 N 4TH ST,LA CROSSE,WI,54601,Draft
THE INDEPENDENT-11250,5016 N FLORIDA AVE,TAMPA,FL,33603,Draft
TOWN PUMP,100 MONTCALM W.,DETROIT,MI,48201,Draft
(CL)NONNIES PIZZA,7530 WOODWARD AVE FRNT 1,WOODRIDGE,IL,60517,Package
